"datum ; bezeichnung ; betrag"
" 11.02.2025 ;Ueberweisung - SWM Versorgungs GmbH - Friedrichshafener Str. 37, Rechnung faellig am 11.02.2025 ;-38,3"
" 25.02.2025 ;Ueberweisung - Werner Altenburg - Werner Altenburg, Einzahlung Haus 5 ;300"
" 29.01.2025 ; Bankeinzug - 6506211598ueB-74387370 EUR 25,20. BEITRAG 0125 - 0125 ;-25,2"
" 28.01.2025 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 01/2025 Betrag 33,00 Eur ;-33"
" 27.01.2025 ;Ueberweisung - alte Feuerloescher ;-20"
" 27.01.2025 ;Ueberweisung - Schilder fuer Feuerloescher ;-5,99"
" 27.01.2025 ;Ueberweisung - Rechnung Nr 20250221 ;-471,84"
" 02.01.2025 ;Ueberweisung - Entgeltabrechnung Minijob - November 2024 ;-84"
" 02.01.2025 ;Ueberweisung - Entgeltabrechnung Minijob - Dezember 2024 ;-84"
" 02.01.2025 ;Ueberweisung - Christopher Schwepfinger - Haushaltsplan fuer Friedrichshafener Strasse 59 ;700"
" 30.12.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 12/2024 Betrag 33,00 Eur ;-33"
" 23.12.2024 ; Bankeinzug - 4174081392ueB-74387370 EUR 25,20. BEITRAG 1224 - 1224 ;-25,2"
" 28.11.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 11/2024 Betrag 33,00 Eur ;-33"
" 27.11.2024 ; Bankeinzug - 4008130466ueB-74387370 EUR 25,20. BEITRAG 1124 - 1124 ;-25,2"
" 12.11.2024 ;Ueberweisung - Ueberweisung - Entgeltabrechnung Minijob - September 2024 ;-84"
" 12.11.2024 ;Ueberweisung - Ueberweisung - Entgeltabrechnung Minijob -uektober 2024 ;-84"
" 11.11.2024 ;Uebertragung - kommende Rechnungen ;2000"
" 29.10.2024 ; Bankeinzug - 5672591887ueB-74387370 EUR 25,20. BEITRAG 1024 - 1024 ;-25,2"
" 28.10.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 10/2024 Betrag 33,00 Eur ;-33"
" 15.10.2024 ; Bankeinzug - REF-9C8269B20782A844AE ;-2866"
" 10.10.2024 ;Uebertragung - Matera Abonnement ;3000"
" 08.10.2024 ;Ueberweisung - Rechnung Nr. 2024_040 mit Kundennummer: 10247 ;-4533,28"
" 07.10.2024 ;Uebertragung - Rechnung TG-Einfahrt ;5000"
" 04.10.2024 ; Bankeinzug - 09/2024 K-NR. 906623520-1 V-NR. 950327453 ;-854,66"
" 30.09.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 09/2024 Betrag 33,00 Eur ;-33"
" 26.09.2024 ; Bankeinzug - 5340334085ueB-74387370 EUR 25,20. BEITRAG 0924 - 0924 ;-25,2"
" 16.09.2024 ;Ueberweisung - Entgeltabrechnung Minijob - August 2024 ;-84"
" 28.08.2024 ; Bankeinzug - 6838750937ueB-74387370 EUR 25,20. BEITRAG 0824 - 0824 ;-25,2"
" 28.08.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 08/2024 Betrag 33,00 Eur ;-33"
" 07.08.2024 ;Ueberweisung -Ueberweisung - Entgeltabrechnung Minijob - Juli 2024 ;-84"
" 29.07.2024 ; Bankeinzug - 0107903546ueB-74387370 EUR 25,20. BEITRAG 0724 - 0724 ;-25,2"
" 29.07.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 07/2024 Betrag 33,00 Eur ;-33"
" 22.07.2024 ;Ueberweisung ;-99,99"
" 05.07.2024 ;Ueberweisung -Ueberweisung - Gratifikation Teil 2 ;-275"
" 05.07.2024 ;Ueberweisung - Entgeltabrechnung Minijob - Mai 2024 ;-84"
" 05.07.2024 ;Ueberweisung - Entgeltabrechnung Minijob - Juni 2024 ;-84"
" 28.06.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 06/2024 Betrag 33,00 Eur ;-33"
" 26.06.2024 ; Bankeinzug - 3838359697ueB-74387370 EINZUG BEITRAG ;-50,4"
" 26.06.2024 ;Ueberweisung - Irmgard Domdey - Hausgeld 2024 ;500"
" 17.06.2024 ; Bankeinzug - HAFT UNF HE-1051-3372 04.06.2024 ;-70,66"
" 14.06.2024 ;Uebertragung - Rºcklagen ;-10000"
" 28.05.2024 ; Bankeinzug - Friedrichshafener Str. 37, Abschlag Strom 05/2024 Betrag 33,00 Eur ;-33"
" 22.05.2024 ;Ueberweisung - Thermoflam ;-49,99"
" 21.05.2024 ;Ueberweisung - KOEPP FRIEDRICH - K pp Aufstockung ;505,47"
" 17.05.2024 ;Ueberweisung - WEG Friedrichshafener Str. 37-63 vertreten d. Florian Holzapfel - AUFLOeSUNG KONTO 40713929 ;4570,51"
" 16.05.2024 ;Ueberweisung - WEG Friedrichshafener Str. 37-63 vertreten d. Florian Holzapfel - Aufloesung des Kontos IBAN DE61701694640000713929WEG Friedrichshafener Str. ;1298,23"
" 13.05.2024 ;Ueberweisung - Gratifikation Teil 1 ;-275"
" 08.05.2024 ;Ueberweisung - Schwepfinger, Christopher - Wirtschaftsplan Firedrichshafener Strasse 59 ;700"
" 29.04.2024 ;Ueberweisung - Florian Johann Holzapfel ;8,89"
" 29.04.2024 ;Ueberweisung - WEG Friedrichshafener Str. 37-63 vertreten d. Florian Holzapfel - 2te Uebertragung an Matera ;2500"
" 25.04.2024 ;Ueberweisung - WEG Friedrichshafener Str. 37-63 vertreten d. Florian Holzapfel - Uebertrag an Matera ;2500"
